要因, 中文, 結果
高気圧, に覆われて, おおむね晴れて
高気圧, に覆われて, 晴れて
梅雨前線, の影響で, 曇って
梅雨前線, の影響で, 曇っており、雨の降っている所
梅雨前線, の影響で, 雨が降って
梅雨前線に流れ込む湿った空気, の影響で, おおむね曇って
梅雨前線に流れ込む湿った空気, の影響で, 曇って
梅雨前線に流れ込む湿った空気, の影響で, 曇っており、雨の降っている所
梅雨前線, の影響で, 雲が広がって
前線に流れ込む湿った空気, の影響で, 曇って
前線に流れ込む湿った空気, の影響で, おおむね曇って
前線に流れ込む湿った空気, の影響で, 曇っており雨の降っている所
前線, の影響で, 曇って
前線, の影響で, おおむね曇って
前線, の影響で, 雨が降って
前線, の影響で, 弱い雨が降って
前線, の影響で, 雲が広がって
前線を伴う低気圧, の影響で, 曇って
前線を伴う低気圧, の影響で, 雲が広がって
前線に流れ込む湿った空気, の影響で, 雲が広がって
高気圧のへりを回り込む湿った空気, の影響で, 曇って
高気圧のへりを回り込む湿った空気, の影響で, おおむね曇って
高気圧のへりを回り込む湿った空気, の影響で, 雨が降って
高気圧のへりを回り込む湿った空気, の影響で, 曇っており、雨の降っている所
高気圧を回り込む湿った空気, の影響で, 曇って
高気圧のへり, にあたり, 曇って
高気圧のへり, にあたり, おおむね曇って
高気圧のへり, にあたって, 曇って
高気圧のへり, にあたり, 雲が広がって
低気圧, の影響で, 曇りや雨の天気
霧,,
雲のすき間, で, 晴れて
上空の湿った空気, の影響で, 曇って
,,にわか雨の所があります
台風, の影響で, 曇って
台風, の影響で, 雨や雷雨となって
台風, の影響で, 雨が降って
台風周辺の湿った空気, の影響で, 雲が広がって
台風周辺の湿った空気, の影響で, 曇って
気圧の谷, の影響で, 曇って
気圧の谷, の影響で, おおむね曇って
気圧の谷, の影響で, 雨が降って
気圧の谷, の影響で, 雲が広がって
大陸の高気圧の張り出しに伴う寒気, の影響で, 曇って
大陸の高気圧の張り出しに伴う寒気, の影響で, おおむね曇って
大陸の高気圧の張り出しに伴う寒気, の影響で, 雨が降って
大陸の高気圧の張り出しに伴う寒気, の影響で, 雲が広がって
寒気, の影響で, 曇って
寒気, の影響で, おおむね曇って
寒気, の影響で, 雲が広がって
寒気, の影響で, 雨が降って
